generation,member,well_1,well_2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=99,2.01942e+06,0,29,1e+30,239,239,1,-999
1,gen=1_member=137_pso,2.1286e-09,0,3,1e+30,2570.5,2570.5,1,-999
1,gen=1_member=139_pso,19324.2,2.1443e-94,17,1e+30,2278,2278,1,-999
1,gen=1_member=143_pso,0,138312,16,1e+30,1139,1139,1,-999
1,gen=1_member=146_pso,5903.01,0,15,1e+30,2309,2309,1,-999
1,gen=1_member=149_pso,6.84735e-258,13721.3,13,1e+30,1181,1181,1,-999
1,gen=1_member=151_pso,3.61708,0,11,1e+30,2494.18,2494.18,1,-999
1,gen=1_member=152_pso,0,15281.5,14,1e+30,1168,1168,1,-999
1,gen=1_member=157_pso,0.000294889,0,7,1e+30,2528.5,2528.5,1,-999
1,gen=1_member=158_pso,1.11422e-10,0,2,1e+30,2572.5,2572.5,1,-999
1,gen=1_member=160_pso,0,695892,20,1e+30,972,972,1,-999
1,gen=1_member=162_pso,137230,0,24,1e+30,2021,2021,1,-999
1,gen=1_member=166_pso,304.712,0,13,1e+30,2440,2440,1,-999
1,gen=1_member=167_pso,204901,0,27,1e+30,1895,1895,1,-999
1,gen=1_member=170_pso,0,77.9451,6,1e+30,1376.01,1376.01,1,-999
1,gen=1_member=178_pso,0,2.61017e-08,2,1e+30,1519.5,1519.5,1,-999
1,gen=1_member=181_pso,0,13259.3,12,1e+30,1193,1193,1,-999
1,gen=1_member=186_pso,571695,0,34,-999,1564,1564,1,-999
1,gen=1_member=189_pso,75422,0,21,1e+30,2166,2166,1,-999
1,gen=1_member=192_pso,350017,0,30,-999,1690,1690,1,-999
1,gen=1_member=193_pso,108762,0,23,1e+30,2098,2098,1,-999
1,gen=1_member=196_pso,695892,0,36,-999,1495,1495,1,-999
1,gen=1_member=198_pso,695892,695892,37,1e+30,402,402,1,-999
1,gen=1_member=202_pso,9.67501e-05,0,5,1e+30,2539.5,2539.5,1,-999
1,gen=1_member=203_pso,190762,0,26,1e+30,1921,1921,1,-999
1,gen=1_member=204_pso,0,196.107,7,1e+30,1370.01,1370.01,1,-999
1,gen=1_member=209_pso,950264,1.60777e-105,38,1e+30,1303,1303,1,-999
1,gen=1_member=211_pso,99518.9,0,22,1e+30,2120,2120,1,-999
1,gen=1_member=212_pso,0,0.000303827,3,1e+30,1465.5,1465.5,1,-999
1,gen=1_member=213_pso,0,2.66969e+06,28,1e+30,6.96678e-07,6.96678e-07,1,-999
1,gen=1_member=214_pso,0,754136,21,1e+30,892,892,1,-999
1,gen=1_member=215_pso,16126.1,0,16,1e+30,2294,2294,1,-999
1,gen=1_member=216_pso,864208,426978,38,1e+30,402,402,1,-999
1,gen=1_member=217_pso,6.87994e-97,2198.81,9,1e+30,1336,1336,1,-999
1,gen=1_member=220_pso,0,1.17209e+06,22,1e+30,623,623,1,-999
1,gen=1_member=225_pso,2.66969e+06,0,54,1e+30,1.31002e-06,1.31002e-06,1,-999
1,gen=1_member=226_pso,1.96812e+06,0,50,1e+30,509,509,1,-999
1,gen=1_member=227_pso,0,2326.08,10,1e+30,1305,1305,1,-999
1,gen=1_member=229_pso,0,4.94937,5,1e+30,1406.14,1406.14,1,-999
1,gen=1_member=230_pso,576946,0,35,-999,1530,1530,1,-999
1,gen=1_member=232_pso,178926,3.28909e-18,25,1e+30,1997,1997,1,-999
1,gen=1_member=233_pso,0,0,1,-999,2951.5,2951.5,1,-999
1,gen=1_member=234_pso,0.00592394,0,8,1e+30,2521.5,2521.5,1,-999
1,gen=0_member=81,1.31504e-08,0,4,1e+30,2567.5,2567.5,1,-999
1,gen=0_member=75,0,0.000649775,4,1e+30,1462.5,1462.5,1,-999
1,gen=0_member=77,0.000174159,1.42109e-63,6,1e+30,2534.5,2534.5,1,-999
1,gen=0_member=90,0.0124184,0,9,1e+30,2513.5,2513.5,1,-999
1,gen=0_member=35,3.88534e-38,1736.94,8,1e+30,1344,1344,1,-999
1,gen=0_member=68,0.0395658,0,10,1e+30,2504.49,2504.49,1,-999
1,gen=0_member=5,0,4516.55,11,1e+30,1273,1273,1,-999
1,gen=0_member=64,252.317,0,12,1e+30,2452,2452,1,-999
1,gen=0_member=53,0,64570.5,15,1e+30,1154,1154,1,-999
1,gen=0_member=82,2903.54,1.79246e-12,14,1e+30,2323,2323,1,-999
1,gen=0_member=74,0,152977,17,1e+30,1123,1123,1,-999
1,gen=0_member=63,1979.85,3547.38,14,1.8444,854,854,1,-999
1,gen=0_member=40,2575.88,653.297,14,0.550258,876,876,1,-999
1,gen=0_member=51,0,426978,18,1e+30,1068,1068,1,-999
1,gen=0_member=72,2887.65,2198.81,15,2,854,854,1,-999
1,gen=0_member=48,36062,0,18,1e+30,2261,2261,1,-999
1,gen=0_member=27,0,684107,19,1e+30,991,991,1,-999
1,gen=0_member=61,58082.6,0,19,1e+30,2243,2243,1,-999
1,gen=0_member=24,3.68806,763728,22,1.82427,669,669,1,-999
1,gen=0_member=12,1.28269e-06,1.07844e+06,22,0.348441,549,549,1,-999
1,gen=0_member=56,63939.9,0,20,1e+30,2186,2186,1,-999
1,gen=0_member=42,0,1.30781e+06,23,1e+30,601,601,1,-999
1,gen=0_member=89,58585.3,243869,20,2,747,747,1,-999
1,gen=0_member=94,232380,0,28,1e+30,1809,1809,1,-999
1,gen=0_member=65,0,1.32128e+06,24,1e+30,578,578,1,-999
1,gen=0_member=93,89981.9,4.94937,22,1.65156,816,816,1,-999
1,gen=0_member=95,333308,0,29,1e+30,1719,1719,1,-999
1,gen=0_member=54,0,1.37173e+06,25,1e+30,554,554,1,-999
1,gen=0_member=32,178926,795129,26,1.13226,523,523,1,-999
1,gen=0_member=70,380775,0,31,-999,1660,1660,1,-999
1,gen=0_member=10,0,2.18163e+06,26,1e+30,94,94,1,-999
1,gen=0_member=96,216500,1.37199e+06,28,1.91705,322,322,1,-999
1,gen=0_member=2,109332,1.5389e+06,26,1.57349,140,140,1,-999
1,gen=0_member=60,0,2.29725e+06,27,1e+30,68,68,1,-999
1,gen=0_member=47,519681,0,32,-999,1629,1629,1,-999
1,gen=0_member=26,236164,1.62277e+06,29,1e+30,78,78,1,-999
1,gen=0_member=97,529783,0,33,-999,1597,1597,1,-999
1,gen=0_member=79,792.945,2.45736e+06,28,1.41775,7.78045e-07,7.78045e-07,1,-999
1,gen=0_member=41,754243,0,37,1e+30,1399,1399,1,-999
1,gen=0_member=33,1.06697e+06,0,39,-999,1265,1265,1,-999
1,gen=0_member=0,1.07826e+06,0,40,-999,1226,1226,1,-999
1,gen=0_member=71,1.14762e+06,830797,41,1e+30,333,333,1,-999
1,gen=0_member=21,1.22645e+06,0,41,1e+30,1039,1039,1,-999
1,gen=0_member=88,1.19338e+06,1.87209e+06,42,1e+30,7.72782e-07,7.72782e-07,1,-999
1,gen=0_member=4,1.24836e+06,0,42,1e+30,998,998,1,-999
1,gen=0_member=37,1.30406e+06,1.0934e+06,43,1e+30,182,182,1,-999
1,gen=0_member=22,1.33313e+06,0,43,1e+30,883,883,1,-999
1,gen=0_member=92,1.3855e+06,0,44,-999,840,840,1,-999
1,gen=0_member=62,1.43373e+06,0,45,-999,796,796,1,-999
1,gen=0_member=38,1.47029e+06,0,46,-999,751,751,1,-999
1,gen=0_member=87,1.90635e+06,0,47,-999,705,705,1,-999
1,gen=0_member=73,1.90686e+06,0,48,-999,658,658,1,-999
1,gen=0_member=52,1.93211e+06,2.524e-118,49,-999,610,610,1,-999
1,gen=0_member=99,2.01942e+06,0,51,-999,459,459,1,-999
1,gen=0_member=30,1.96251e+06,1.89025,50,1e+30,251,251,1,-999
1,gen=0_member=55,2.02586e+06,5.01156e-06,52,1e+30,251,251,1,-999
1,gen=0_member=13,2.50589e+06,0,52,1e+30,266,266,1,-999
1,gen=0_member=17,2.26553e+06,1.41361e+06,53,1e+30,92,92,1,-999
1,gen=0_member=16,2.61946e+06,0,53,1e+30,122,122,1,-999
1,gen=0_member=23,2.51656e+06,1.42082e+06,54,1e+30,6.64328e-07,6.64328e-07,1,-999
1,gen=0_member=1,2.65426e+06,5483.96,54,2,1.33702e-06,1.33702e-06,1,-999
2,gen=2_member=256_pso,0,345.461,8,1e+30,1495,1495,1,-999
2,gen=2_member=264_pso,0.0083274,1.76611e-39,9,1e+30,2794.5,2794.5,1,-999
2,gen=2_member=274_pso,0,4874.52,14,1e+30,1352,1352,1,-999
2,gen=2_member=297_pso,7.63829e-10,695892,25,1.59288,807,807,1,-999
2,gen=2_member=299_pso,0,695892,24,1e+30,1052,1052,1,-999
2,gen=2_member=307_pso,1095.23,0,17,1e+30,2607,2607,1,-999
2,gen=2_member=310_pso,0,255517,21,1e+30,1187,1187,1,-999
2,gen=2_member=316_pso,175.643,0,14,1e+30,2701.01,2701.01,1,-999
2,gen=2_member=317_pso,0,1645.81,9,1e+30,1463,1463,1,-999
2,gen=2_member=322_pso,0.257846,0,12,1e+30,2764.44,2764.44,1,-999
2,gen=2_member=325_pso,442050,0,37,-999,1655,1655,1,-999
2,gen=2_member=332_pso,0,0,1,-999,3380.5,3380.5,1,-999
2,gen=2_member=333_pso,695892,1.1263e-113,42,-999,1460,1460,1,-999
2,gen=2_member=334_pso,27399.8,0,22,1e+30,2432,2432,1,-999
2,gen=1_member=178_pso,0,2.61017e-08,2,1e+30,1668.5,1668.5,1,-999
2,gen=1_member=158_pso,1.11422e-10,0,2,1e+30,2883.5,2883.5,1,-999
2,gen=1_member=212_pso,0,0.000303827,3,1e+30,1608.5,1608.5,1,-999
2,gen=1_member=137_pso,2.1286e-09,0,3,1e+30,2856.5,2856.5,1,-999
2,gen=0_member=81,1.31504e-08,0,4,1e+30,2853.5,2853.5,1,-999
2,gen=0_member=75,0,0.000649775,4,1e+30,1605.5,1605.5,1,-999
2,gen=1_member=229_pso,0,4.94937,5,1e+30,1543.14,1543.14,1,-999
2,gen=1_member=202_pso,9.67501e-05,0,5,1e+30,2820.5,2820.5,1,-999
2,gen=1_member=170_pso,0,77.9451,6,1e+30,1508.01,1508.01,1,-999
2,gen=0_member=77,0.000174159,1.42109e-63,6,1e+30,2815.5,2815.5,1,-999
2,gen=1_member=204_pso,0,196.107,7,1e+30,1502.01,1502.01,1,-999
2,gen=1_member=157_pso,0.000294889,0,7,1e+30,2809.5,2809.5,1,-999
2,gen=1_member=234_pso,0.00592394,0,8,1e+30,2802.5,2802.5,1,-999
2,gen=0_member=35,3.88534e-38,1736.94,10,1e+30,1454,1454,1,-999
2,gen=1_member=217_pso,6.87994e-97,2198.81,11,1e+30,1444,1444,1,-999
2,gen=0_member=90,0.0124184,0,10,1e+30,2785.5,2785.5,1,-999
2,gen=1_member=227_pso,0,2326.08,12,1e+30,1405,1405,1,-999
2,gen=0_member=68,0.0395658,0,11,1e+30,2775.49,2775.49,1,-999
2,gen=1_member=151_pso,3.61708,0,13,1e+30,2752.18,2752.18,1,-999
2,gen=0_member=5,0,4516.55,13,1e+30,1365,1365,1,-999
2,gen=1_member=181_pso,0,13259.3,15,1e+30,1338,1338,1,-999
2,gen=0_member=64,252.317,0,15,1e+30,2687,2687,1,-999
2,gen=1_member=166_pso,304.712,0,16,1e+30,2672,2672,1,-999
2,gen=1_member=149_pso,6.84735e-258,13721.3,16,1e+30,1323,1323,1,-999
2,gen=1_member=152_pso,0,15281.5,17,1e+30,1307,1307,1,-999
2,gen=0_member=82,2903.54,1.79246e-12,18,1e+30,2510,2510,1,-999
2,gen=0_member=63,1979.85,3547.38,18,1.87704,806,806,1,-999
2,gen=0_member=40,2575.88,653.297,18,0.373061,834,834,1,-999
2,gen=1_member=146_pso,5903.01,0,19,1e+30,2492,2492,1,-999
2,gen=0_member=53,0,64570.5,18,1e+30,1290,1290,1,-999
2,gen=0_member=72,2887.65,2198.81,19,2,806,806,1,-999
2,gen=1_member=215_pso,16126.1,0,20,1e+30,2473,2473,1,-999
2,gen=1_member=143_pso,0,138312,19,1e+30,1272,1272,1,-999
2,gen=1_member=139_pso,19324.2,2.1443e-94,21,1e+30,2453,2453,1,-999
2,gen=0_member=74,0,152977,20,1e+30,1253,1253,1,-999
2,gen=0_member=51,0,426978,22,1e+30,1166,1166,1,-999
2,gen=0_member=48,36062,0,23,1e+30,2410,2410,1,-999
2,gen=0_member=61,58082.6,0,24,1e+30,2387,2387,1,-999
2,gen=0_member=27,0,684107,23,1e+30,1075,1075,1,-999
2,gen=0_member=56,63939.9,0,25,1e+30,2317,2317,1,-999
2,gen=0_member=89,58585.3,243869,25,1.92277,760,760,1,-999
2,gen=1_member=214_pso,0,754136,25,1e+30,932,932,1,-999
2,gen=1_member=189_pso,75422,0,26,1e+30,2292,2292,1,-999
2,gen=1_member=220_pso,0,1.17209e+06,26,1e+30,615,615,1,-999
2,gen=1_member=211_pso,99518.9,0,27,1e+30,2236,2236,1,-999
2,gen=0_member=24,3.68806,763728,26,1.9201,669,669,1,-999
2,gen=0_member=93,89981.9,4.94937,27,2,760,760,1,-999
2,gen=0_member=12,1.28269e-06,1.07844e+06,26,0.348453,528,528,1,-999
2,gen=1_member=193_pso,108762,0,28,1e+30,2209,2209,1,-999
2,gen=0_member=42,0,1.30781e+06,27,1e+30,589,589,1,-999
2,gen=1_member=162_pso,137230,0,29,1e+30,2117,2117,1,-999
2,gen=0_member=65,0,1.32128e+06,28,1e+30,562,562,1,-999
2,gen=1_member=232_pso,178926,3.28909e-18,30,1e+30,2088,2088,1,-999
2,gen=0_member=54,0,1.37173e+06,29,1e+30,534,534,1,-999
2,gen=1_member=203_pso,190762,0,31,1e+30,1997,1997,1,-999
2,gen=0_member=10,0,2.18163e+06,30,1e+30,110,110,1,-999
2,gen=0_member=2,109332,1.5389e+06,30,2,161,161,1,-999
2,gen=0_member=32,178926,795129,31,2,495,495,1,-999
2,gen=1_member=167_pso,204901,0,32,1e+30,1966,1966,1,-999
2,gen=0_member=60,0,2.29725e+06,31,1e+30,80,80,1,-999
2,gen=1_member=213_pso,0,2.66969e+06,32,1e+30,6.96678e-07,6.96678e-07,1,-999
2,gen=0_member=94,232380,0,33,1e+30,1865,1865,1,-999
2,gen=0_member=96,216500,1.37199e+06,33,1e+30,262,262,1,-999
2,gen=0_member=79,792.945,2.45736e+06,32,2,7.78045e-07,7.78045e-07,1,-999
2,gen=0_member=95,333308,0,34,1e+30,1760,1760,1,-999
2,gen=0_member=26,236164,1.62277e+06,34,1e+30,89,89,1,-999
2,gen=1_member=192_pso,350017,0,35,-999,1726,1726,1,-999
2,gen=0_member=70,380775,0,36,-999,1691,1691,1,-999
2,gen=0_member=47,519681,0,38,-999,1618,1618,1,-999
2,gen=0_member=97,529783,0,39,-999,1580,1580,1,-999
2,gen=1_member=186_pso,571695,0,40,-999,1541,1541,1,-999
2,gen=1_member=230_pso,576946,0,41,-999,1501,1501,1,-999
2,gen=1_member=198_pso,695892,695892,43,1e+30,354,354,1,-999
2,gen=0_member=41,754243,0,43,1e+30,1347,1347,1,-999
2,gen=1_member=216_pso,864208,426978,44,1e+30,354,354,1,-999
2,gen=1_member=209_pso,950264,1.60777e-105,44,1e+30,1235,1235,1,-999
2,gen=0_member=33,1.06697e+06,0,45,-999,1191,1191,1,-999
2,gen=0_member=0,1.07826e+06,0,46,-999,1146,1146,1,-999
2,gen=0_member=71,1.14762e+06,830797,47,1e+30,274,274,1,-999
2,gen=0_member=21,1.22645e+06,0,47,1e+30,931,931,1,-999
2,gen=0_member=88,1.19338e+06,1.87209e+06,48,1e+30,7.72782e-07,7.72782e-07,1,-999
2,gen=0_member=4,1.24836e+06,0,48,1e+30,884,884,1,-999
2,gen=0_member=37,1.30406e+06,1.0934e+06,49,1e+30,101,101,1,-999
2,gen=0_member=22,1.33313e+06,0,49,1e+30,752,752,1,-999
2,gen=0_member=92,1.3855e+06,0,50,-999,703,703,1,-999
2,gen=0_member=62,1.43373e+06,0,51,-999,653,653,1,-999
2,gen=0_member=38,1.47029e+06,0,52,-999,602,602,1,-999
2,gen=0_member=87,1.90635e+06,0,53,-999,550,550,1,-999
2,gen=0_member=73,1.90686e+06,0,54,-999,497,497,1,-999
2,gen=0_member=52,1.93211e+06,2.524e-118,55,-999,443,443,1,-999
2,gen=1_member=226_pso,1.96812e+06,0,56,1e+30,330,330,1,-999
2,gen=0_member=30,1.96251e+06,1.89025,56,1e+30,101,101,1,-999
2,gen=0_member=99,2.01942e+06,0,57,-999,274,274,1,-999
2,gen=0_member=55,2.02586e+06,5.01156e-06,58,1e+30,101,101,1,-999
2,gen=0_member=13,2.50589e+06,0,58,1e+30,58,58,1,-999
2,gen=0_member=17,2.26553e+06,1.41361e+06,59,1e+30,6.86227e-07,6.86227e-07,1,-999
2,gen=0_member=16,2.61946e+06,0,59,1e+30,8.43363e-07,8.43363e-07,1,-999
