real_name,well_1_q,well_1_x,well_1_y,well_2_q,well_2_x,well_2_y,xc
106,52.164879,41.590296,-28.170111,45.956729,-2.125186,-47.136297,-7.805362
107,55.488527,49.431011,33.596811,22.82467,-47.356318,-26.100832,-19.529731
108,18.579595,35.579518,18.978435,48.03439,-0.074036,-33.667075,6.67209
109,56.12525,-27.155746,28.248163,31.15246,-26.405517,-33.263649,45.861392
110,41.661698,25.187412,19.752145,15.013866,33.300576,-44.966256,4.522618
111,7.771527,49.181104,-49.479612,28.072003,-41.693749,45.060724,16.657088
112,35.774322,44.940647,36.046058,40.892095,-49.00409,-33.534435,13.208761
113,39.006429,-6.402908,-35.935573,60.157168,28.736946,1.560503,19.281334
114,62.311449,-8.901638,30.481342,31.181767,-31.699264,23.966561,-37.913502
115,60.534065,-6.152068,20.000874,56.27378,29.639187,14.491269,25.000702
116,35.046828,16.272761,-13.473929,19.746334,-11.845709,45.032593,-11.488996
117,52.395045,-15.728117,-48.039218,21.421203,-23.357968,-46.581475,-28.44783
118,10.583819,8.430168,-36.384736,30.696544,35.358439,-15.206982,22.779536
119,50.006792,-32.554594,-9.144217,64.82332,-22.785812,-0.439949,7.861173
120,26.266867,-45.586149,20.567412,27.924829,5.101431,34.82201,-10.648844
121,26.773466,-13.275503,-39.508714,18.185285,20.719812,8.308194,-31.555688
122,36.348397,-31.072917,47.591037,50.550514,-47.747232,-42.365505,23.11293
123,14.242303,24.193343,10.273786,22.514861,-30.10746,-3.920783,32.786492
124,49.436679,35.863308,-29.530141,41.437147,8.506019,45.177294,42.780985
125,13.874847,43.933847,-33.818224,36.120104,40.96176,-2.0579,12.946501
126,48.77917,49.678473,-26.934539,58.460791,21.093818,-48.318835,-23.787438
127,55.219448,-2.202587,16.334541,52.697973,-49.367034,36.59626,-47.512957
128,19.887147,-11.439888,-34.902374,50.260242,-10.028436,-23.206411,4.693372
129,26.988661,-10.735303,9.892831,19.896488,-20.539016,-9.651095,-48.707588
130,63.540279,-36.734767,14.614636,63.622498,43.745051,8.258276,-18.413499
131,21.629954,-40.681178,-29.003766,12.034323,13.236289,-49.227443,-30.646194
132,54.284991,-25.191778,-13.603999,39.359997,2.310004,-22.931716,-38.203432
133,62.629245,42.898569,36.032576,58.153867,-24.958124,34.626208,-31.342583
134,28.761035,-16.862282,26.336083,54.241944,15.643212,22.696001,24.946667
135,51.065205,-48.272565,36.442769,37.817778,-49.840979,-21.831085,-49.093774
136,46.041423,-16.917553,-41.688078,26.6214,34.442404,22.000612,-41.747996
137,57.684537,-49.062163,-38.732712,33.294919,-25.399024,-16.076751,-47.123262
138,6.866801,-24.451914,-6.385255,19.531444,-44.031058,-22.306601,49.208879
139,25.231398,-14.634188,33.880495,10.469345,-49.235873,-32.918267,-5.094322
140,13.89201,19.666097,49.815175,52.405194,38.694746,5.034489,-14.74856
141,35.632489,-40.370087,-25.499414,56.06597,34.189549,-25.185246,19.809606
142,33.420854,-6.961826,36.362766,24.706439,-39.330556,40.747545,6.168891
143,21.384085,-42.108384,-7.630824,12.749247,18.274049,18.606359,-40.71111
144,54.360814,-47.028193,-27.353337,63.187275,-7.96727,-49.816667,-15.392188
145,31.529088,-40.20011,-10.631101,48.497943,-26.217939,-24.316175,-21.301314
146,62.093176,42.526677,13.959727,46.235409,21.039118,27.375611,0.575904
147,21.760947,6.170142,-12.412426,30.792499,-24.965877,16.841368,29.145492
148,13.927442,-39.217494,-34.909375,6.97199,27.763221,17.414336,41.721087
149,63.783783,-29.048378,-44.581194,23.784781,-4.87135,-16.475934,-12.144514
