,r,c,sp,sidx,idx_strs,pargpq,parval1_q,q
73,43,23,7,"(43, 23, 7)",r:43_c:23_sp:7,p_inst:0,1.0,1.0
74,33,31,7,"(33, 31, 7)",r:33_c:31_sp:7,p_inst:0,1.0,1.0
75,26,22,7,"(26, 22, 7)",r:26_c:22_sp:7,p_inst:0,1.0,1.0
76,37,37,7,"(37, 37, 7)",r:37_c:37_sp:7,p_inst:0,1.0,1.0
77,32,8,7,"(32, 8, 7)",r:32_c:8_sp:7,p_inst:0,1.0,1.0
78,9,28,7,"(9, 28, 7)",r:9_c:28_sp:7,p_inst:0,1.0,1.0
79,31,38,7,"(31, 38, 7)",r:31_c:38_sp:7,p_inst:0,1.0,1.0
80,22,11,8,"(22, 11, 8)",r:22_c:11_sp:8,p_inst:0,1.0,1.0
81,9,40,8,"(9, 40, 8)",r:9_c:40_sp:8,p_inst:0,1.0,1.0
82,17,43,8,"(17, 43, 8)",r:17_c:43_sp:8,p_inst:0,1.0,1.0
83,43,23,8,"(43, 23, 8)",r:43_c:23_sp:8,p_inst:0,1.0,1.0
84,33,31,8,"(33, 31, 8)",r:33_c:31_sp:8,p_inst:0,1.0,1.0
85,26,22,8,"(26, 22, 8)",r:26_c:22_sp:8,p_inst:0,1.0,1.0
86,37,37,8,"(37, 37, 8)",r:37_c:37_sp:8,p_inst:0,1.0,1.0
87,32,8,8,"(32, 8, 8)",r:32_c:8_sp:8,p_inst:0,1.0,1.0
88,9,28,8,"(9, 28, 8)",r:9_c:28_sp:8,p_inst:0,1.0,1.0
89,31,38,8,"(31, 38, 8)",r:31_c:38_sp:8,p_inst:0,1.0,1.0
90,22,11,9,"(22, 11, 9)",r:22_c:11_sp:9,p_inst:0,1.0,1.0
91,9,40,9,"(9, 40, 9)",r:9_c:40_sp:9,p_inst:0,1.0,1.0
92,17,43,9,"(17, 43, 9)",r:17_c:43_sp:9,p_inst:0,1.0,1.0
93,43,23,9,"(43, 23, 9)",r:43_c:23_sp:9,p_inst:0,1.0,1.0
94,33,31,9,"(33, 31, 9)",r:33_c:31_sp:9,p_inst:0,1.0,1.0
95,26,22,9,"(26, 22, 9)",r:26_c:22_sp:9,p_inst:0,1.0,1.0
96,37,37,9,"(37, 37, 9)",r:37_c:37_sp:9,p_inst:0,1.0,1.0
97,32,8,9,"(32, 8, 9)",r:32_c:8_sp:9,p_inst:0,1.0,1.0
98,9,28,9,"(9, 28, 9)",r:9_c:28_sp:9,p_inst:0,1.0,1.0
99,31,38,9,"(31, 38, 9)",r:31_c:38_sp:9,p_inst:0,1.0,1.0
