r,c,sp,qref,a
77,52,4,0.0,0.0
35,37,4,685.9061949096155,1.0
71,31,4,0.0,0.0
73,59,4,0.0,0.0
54,41,4,0.0,0.0
68,55,4,0.0,0.0
59,40,4,685.9061949096155,1.0
72,58,5,685.9061949096155,1.0
70,32,5,685.9061949096155,1.0
41,36,5,685.9061949096155,1.0
84,42,5,0.0,0.0
76,61,5,0.0,0.0
72,45,5,685.9061949096155,1.0
37,35,5,0.0,0.0
34,60,5,0.0,0.0
66,39,5,0.0,0.0
58,52,5,685.9061949096155,1.0
54,31,5,685.9061949096155,1.0
34,54,5,685.9061949096155,1.0
55,37,5,685.9061949096155,1.0
77,52,5,0.0,0.0
35,37,5,685.9061949096155,1.0
71,31,5,0.0,0.0
73,59,5,0.0,0.0
54,41,5,685.9061949096155,1.0
68,55,5,685.9061949096155,1.0
59,40,5,0.0,0.0
72,58,6,0.0,0.0
70,32,6,0.0,0.0
41,36,6,0.0,0.0
84,42,6,0.0,0.0
76,61,6,685.9061949096155,1.0
72,45,6,0.0,0.0
37,35,6,0.0,0.0
34,60,6,0.0,0.0
66,39,6,685.9061949096155,1.0
58,52,6,0.0,0.0
54,31,6,685.9061949096155,1.0
34,54,6,685.9061949096155,1.0
55,37,6,685.9061949096155,1.0
77,52,6,685.9061949096155,1.0
35,37,6,0.0,0.0
71,31,6,685.9061949096155,1.0
73,59,6,0.0,0.0
54,41,6,685.9061949096155,1.0
68,55,6,685.9061949096155,1.0
59,40,6,0.0,0.0
72,58,7,0.0,0.0
70,32,7,685.9061949096155,1.0
41,36,7,0.0,0.0
84,42,7,0.0,0.0
76,61,7,0.0,0.0
72,45,7,0.0,0.0
37,35,7,685.9061949096155,1.0
34,60,7,685.9061949096155,1.0
66,39,7,0.0,0.0
58,52,7,0.0,0.0
54,31,7,685.9061949096155,1.0
34,54,7,0.0,0.0
55,37,7,685.9061949096155,1.0
77,52,7,685.9061949096155,1.0
35,37,7,685.9061949096155,1.0
71,31,7,685.9061949096155,1.0
73,59,7,0.0,0.0
54,41,7,0.0,0.0
68,55,7,685.9061949096155,1.0
59,40,7,685.9061949096155,1.0
72,58,8,685.9061949096155,1.0
70,32,8,0.0,0.0
41,36,8,0.0,0.0
84,42,8,685.9061949096155,1.0
76,61,8,685.9061949096155,1.0
72,45,8,0.0,0.0
37,35,8,0.0,0.0
34,60,8,685.9061949096155,1.0
66,39,8,0.0,0.0
58,52,8,0.0,0.0
54,31,8,685.9061949096155,1.0
34,54,8,685.9061949096155,1.0
55,37,8,0.0,0.0
77,52,8,685.9061949096155,1.0
35,37,8,685.9061949096155,1.0
71,31,8,0.0,0.0
73,59,8,685.9061949096155,1.0
54,41,8,0.0,0.0
68,55,8,685.9061949096155,1.0
59,40,8,685.9061949096155,1.0
72,58,9,685.9061949096155,1.0
70,32,9,0.0,0.0
41,36,9,0.0,0.0
84,42,9,685.9061949096155,1.0
76,61,9,685.9061949096155,1.0
72,45,9,0.0,0.0
37,35,9,685.9061949096155,1.0
34,60,9,0.0,0.0
66,39,9,0.0,0.0
58,52,9,0.0,0.0
54,31,9,0.0,0.0
34,54,9,685.9061949096155,1.0
55,37,9,0.0,0.0
77,52,9,685.9061949096155,1.0
35,37,9,0.0,0.0
71,31,9,685.9061949096155,1.0
73,59,9,685.9061949096155,1.0
54,41,9,685.9061949096155,1.0
68,55,9,685.9061949096155,1.0
59,40,9,0.0,0.0
72,58,10,685.9061949096155,1.0
70,32,10,685.9061949096155,1.0
41,36,10,0.0,0.0
84,42,10,685.9061949096155,1.0
76,61,10,685.9061949096155,1.0
72,45,10,685.9061949096155,1.0
37,35,10,685.9061949096155,1.0
34,60,10,685.9061949096155,1.0
66,39,10,685.9061949096155,1.0
58,52,10,685.9061949096155,1.0
54,31,10,685.9061949096155,1.0
34,54,10,0.0,0.0
55,37,10,0.0,0.0
77,52,10,685.9061949096155,1.0
35,37,10,0.0,0.0
71,31,10,0.0,0.0
73,59,10,685.9061949096155,1.0
54,41,10,685.9061949096155,1.0
68,55,10,685.9061949096155,1.0
59,40,10,0.0,0.0
72,58,11,685.9061949096155,1.0
70,32,11,0.0,0.0
41,36,11,685.9061949096155,1.0
84,42,11,0.0,0.0
76,61,11,0.0,0.0
72,45,11,0.0,0.0
37,35,11,0.0,0.0
34,60,11,0.0,0.0
66,39,11,685.9061949096155,1.0
58,52,11,0.0,0.0
54,31,11,0.0,0.0
34,54,11,685.9061949096155,1.0
55,37,11,685.9061949096155,1.0
77,52,11,685.9061949096155,1.0
35,37,11,0.0,0.0
71,31,11,685.9061949096155,1.0
73,59,11,685.9061949096155,1.0
54,41,11,685.9061949096155,1.0
68,55,11,685.9061949096155,1.0
59,40,11,685.9061949096155,1.0
72,58,12,685.9061949096155,1.0
70,32,12,0.0,0.0
41,36,12,685.9061949096155,1.0
84,42,12,685.9061949096155,1.0
76,61,12,0.0,0.0
72,45,12,0.0,0.0
37,35,12,0.0,0.0
34,60,12,0.0,0.0
66,39,12,0.0,0.0
58,52,12,0.0,0.0
54,31,12,685.9061949096155,1.0
34,54,12,685.9061949096155,1.0
55,37,12,0.0,0.0
77,52,12,685.9061949096155,1.0
35,37,12,685.9061949096155,1.0
71,31,12,685.9061949096155,1.0
73,59,12,685.9061949096155,1.0
54,41,12,0.0,0.0
68,55,12,685.9061949096155,1.0
59,40,12,685.9061949096155,1.0
72,58,13,685.9061949096155,1.0
70,32,13,0.0,0.0
41,36,13,0.0,0.0
84,42,13,0.0,0.0
76,61,13,685.9061949096155,1.0
72,45,13,685.9061949096155,1.0
37,35,13,685.9061949096155,1.0
34,60,13,685.9061949096155,1.0
66,39,13,685.9061949096155,1.0
58,52,13,685.9061949096155,1.0
54,31,13,685.9061949096155,1.0
34,54,13,685.9061949096155,1.0
55,37,13,0.0,0.0
77,52,13,0.0,0.0
35,37,13,685.9061949096155,1.0
71,31,13,0.0,0.0
73,59,13,685.9061949096155,1.0
54,41,13,685.9061949096155,1.0
68,55,13,0.0,0.0
59,40,13,685.9061949096155,1.0
72,58,14,685.9061949096155,1.0
70,32,14,685.9061949096155,1.0
41,36,14,685.9061949096155,1.0
84,42,14,685.9061949096155,1.0
76,61,14,0.0,0.0
72,45,14,0.0,0.0
37,35,14,685.9061949096155,1.0
34,60,14,685.9061949096155,1.0
66,39,14,685.9061949096155,1.0
58,52,14,685.9061949096155,1.0
54,31,14,685.9061949096155,1.0
34,54,14,685.9061949096155,1.0
55,37,14,685.9061949096155,1.0
77,52,14,0.0,0.0
35,37,14,0.0,0.0
71,31,14,685.9061949096155,1.0
73,59,14,0.0,0.0
54,41,14,0.0,0.0
68,55,14,0.0,0.0
59,40,14,0.0,0.0
72,58,15,0.0,0.0
70,32,15,0.0,0.0
41,36,15,685.9061949096155,1.0
84,42,15,685.9061949096155,1.0
76,61,15,685.9061949096155,1.0
72,45,15,685.9061949096155,1.0
37,35,15,0.0,0.0
34,60,15,685.9061949096155,1.0
66,39,15,0.0,0.0
58,52,15,685.9061949096155,1.0
54,31,15,685.9061949096155,1.0
34,54,15,0.0,0.0
55,37,15,685.9061949096155,1.0
77,52,15,685.9061949096155,1.0
35,37,15,685.9061949096155,1.0
71,31,15,685.9061949096155,1.0
73,59,15,685.9061949096155,1.0
54,41,15,685.9061949096155,1.0
68,55,15,685.9061949096155,1.0
59,40,15,0.0,0.0
72,58,16,685.9061949096155,1.0
70,32,16,0.0,0.0
41,36,16,0.0,0.0
84,42,16,685.9061949096155,1.0
76,61,16,0.0,0.0
72,45,16,685.9061949096155,1.0
37,35,16,685.9061949096155,1.0
34,60,16,0.0,0.0
66,39,16,685.9061949096155,1.0
58,52,16,0.0,0.0
54,31,16,685.9061949096155,1.0
34,54,16,685.9061949096155,1.0
55,37,16,685.9061949096155,1.0
77,52,16,0.0,0.0
35,37,16,685.9061949096155,1.0
71,31,16,685.9061949096155,1.0
73,59,16,0.0,0.0
54,41,16,0.0,0.0
68,55,16,0.0,0.0
59,40,16,685.9061949096155,1.0
72,58,17,0.0,0.0
70,32,17,0.0,0.0
41,36,17,685.9061949096155,1.0
84,42,17,0.0,0.0
76,61,17,685.9061949096155,1.0
72,45,17,0.0,0.0
37,35,17,685.9061949096155,1.0
34,60,17,0.0,0.0
66,39,17,685.9061949096155,1.0
58,52,17,0.0,0.0
54,31,17,685.9061949096155,1.0
34,54,17,0.0,0.0
55,37,17,685.9061949096155,1.0
77,52,17,685.9061949096155,1.0
35,37,17,685.9061949096155,1.0
71,31,17,0.0,0.0
73,59,17,0.0,0.0
54,41,17,0.0,0.0
68,55,17,685.9061949096155,1.0
59,40,17,0.0,0.0
72,58,18,685.9061949096155,1.0
70,32,18,685.9061949096155,1.0
41,36,18,685.9061949096155,1.0
84,42,18,0.0,0.0
76,61,18,685.9061949096155,1.0
72,45,18,685.9061949096155,1.0
37,35,18,685.9061949096155,1.0
34,60,18,0.0,0.0
66,39,18,0.0,0.0
58,52,18,685.9061949096155,1.0
54,31,18,685.9061949096155,1.0
34,54,18,685.9061949096155,1.0
55,37,18,685.9061949096155,1.0
77,52,18,685.9061949096155,1.0
35,37,18,0.0,0.0
71,31,18,0.0,0.0
73,59,18,685.9061949096155,1.0
54,41,18,0.0,0.0
68,55,18,0.0,0.0
59,40,18,0.0,0.0
72,58,19,0.0,0.0
70,32,19,0.0,0.0
41,36,19,685.9061949096155,1.0
84,42,19,685.9061949096155,1.0
76,61,19,0.0,0.0
72,45,19,0.0,0.0
37,35,19,0.0,0.0
34,60,19,0.0,0.0
66,39,19,0.0,0.0
58,52,19,0.0,0.0
54,31,19,0.0,0.0
34,54,19,685.9061949096155,1.0
55,37,19,0.0,0.0
77,52,19,0.0,0.0
35,37,19,0.0,0.0
71,31,19,0.0,0.0
73,59,19,685.9061949096155,1.0
54,41,19,685.9061949096155,1.0
68,55,19,0.0,0.0
59,40,19,685.9061949096155,1.0
72,58,20,0.0,0.0
70,32,20,0.0,0.0
41,36,20,685.9061949096155,1.0
84,42,20,0.0,0.0
76,61,20,0.0,0.0
72,45,20,685.9061949096155,1.0
37,35,20,685.9061949096155,1.0
34,60,20,685.9061949096155,1.0
66,39,20,685.9061949096155,1.0
58,52,20,0.0,0.0
54,31,20,0.0,0.0
34,54,20,0.0,0.0
55,37,20,685.9061949096155,1.0
77,52,20,685.9061949096155,1.0
35,37,20,0.0,0.0
71,31,20,0.0,0.0
73,59,20,0.0,0.0
54,41,20,685.9061949096155,1.0
68,55,20,685.9061949096155,1.0
59,40,20,685.9061949096155,1.0
72,58,21,685.9061949096155,1.0
70,32,21,0.0,0.0
41,36,21,685.9061949096155,1.0
84,42,21,0.0,0.0
76,61,21,685.9061949096155,1.0
72,45,21,0.0,0.0
37,35,21,685.9061949096155,1.0
34,60,21,685.9061949096155,1.0
66,39,21,685.9061949096155,1.0
58,52,21,0.0,0.0
54,31,21,0.0,0.0
34,54,21,0.0,0.0
55,37,21,685.9061949096155,1.0
77,52,21,0.0,0.0
35,37,21,685.9061949096155,1.0
71,31,21,0.0,0.0
73,59,21,0.0,0.0
54,41,21,0.0,0.0
68,55,21,685.9061949096155,1.0
59,40,21,0.0,0.0
72,58,22,685.9061949096155,1.0
70,32,22,685.9061949096155,1.0
41,36,22,0.0,0.0
84,42,22,0.0,0.0
76,61,22,0.0,0.0
72,45,22,685.9061949096155,1.0
37,35,22,0.0,0.0
34,60,22,0.0,0.0
66,39,22,0.0,0.0
58,52,22,685.9061949096155,1.0
54,31,22,685.9061949096155,1.0
34,54,22,0.0,0.0
55,37,22,685.9061949096155,1.0
77,52,22,685.9061949096155,1.0
35,37,22,685.9061949096155,1.0
71,31,22,685.9061949096155,1.0
73,59,22,0.0,0.0
54,41,22,685.9061949096155,1.0
68,55,22,685.9061949096155,1.0
59,40,22,685.9061949096155,1.0
72,58,23,685.9061949096155,1.0
70,32,23,685.9061949096155,1.0
41,36,23,685.9061949096155,1.0
84,42,23,0.0,0.0
76,61,23,685.9061949096155,1.0
72,45,23,685.9061949096155,1.0
37,35,23,0.0,0.0
34,60,23,685.9061949096155,1.0
66,39,23,685.9061949096155,1.0
58,52,23,685.9061949096155,1.0
54,31,23,0.0,0.0
34,54,23,0.0,0.0
55,37,23,0.0,0.0
77,52,23,0.0,0.0
35,37,23,685.9061949096155,1.0
71,31,23,685.9061949096155,1.0
73,59,23,0.0,0.0
54,41,23,0.0,0.0
68,55,23,0.0,0.0
59,40,23,0.0,0.0
72,58,24,0.0,0.0
70,32,24,685.9061949096155,1.0
41,36,24,685.9061949096155,1.0
84,42,24,0.0,0.0
76,61,24,0.0,0.0
72,45,24,685.9061949096155,1.0
37,35,24,685.9061949096155,1.0
34,60,24,0.0,0.0
66,39,24,685.9061949096155,1.0
58,52,24,685.9061949096155,1.0
54,31,24,0.0,0.0
34,54,24,0.0,0.0
55,37,24,685.9061949096155,1.0
77,52,24,0.0,0.0
35,37,24,0.0,0.0
71,31,24,685.9061949096155,1.0
73,59,24,0.0,0.0
54,41,24,0.0,0.0
68,55,24,685.9061949096155,1.0
59,40,24,685.9061949096155,1.0
72,58,25,685.9061949096155,1.0
70,32,25,0.0,0.0
41,36,25,0.0,0.0
84,42,25,0.0,0.0
76,61,25,685.9061949096155,1.0
72,45,25,0.0,0.0
37,35,25,0.0,0.0
34,60,25,685.9061949096155,1.0
66,39,25,0.0,0.0
58,52,25,685.9061949096155,1.0
54,31,25,0.0,0.0
34,54,25,0.0,0.0
55,37,25,685.9061949096155,1.0
77,52,25,685.9061949096155,1.0
35,37,25,0.0,0.0
71,31,25,0.0,0.0
73,59,25,685.9061949096155,1.0
54,41,25,0.0,0.0
68,55,25,685.9061949096155,1.0
59,40,25,685.9061949096155,1.0
72,58,26,685.9061949096155,1.0
70,32,26,0.0,0.0
41,36,26,685.9061949096155,1.0
84,42,26,685.9061949096155,1.0
76,61,26,685.9061949096155,1.0
72,45,26,0.0,0.0
37,35,26,0.0,0.0
34,60,26,0.0,0.0
66,39,26,685.9061949096155,1.0
58,52,26,685.9061949096155,1.0
54,31,26,685.9061949096155,1.0
34,54,26,0.0,0.0
55,37,26,685.9061949096155,1.0
77,52,26,685.9061949096155,1.0
35,37,26,0.0,0.0
71,31,26,0.0,0.0
73,59,26,685.9061949096155,1.0
54,41,26,685.9061949096155,1.0
68,55,26,685.9061949096155,1.0
59,40,26,0.0,0.0
72,58,27,0.0,0.0
70,32,27,685.9061949096155,1.0
41,36,27,0.0,0.0
84,42,27,685.9061949096155,1.0
76,61,27,0.0,0.0
72,45,27,0.0,0.0
37,35,27,0.0,0.0
34,60,27,0.0,0.0
66,39,27,0.0,0.0
58,52,27,0.0,0.0
54,31,27,685.9061949096155,1.0
34,54,27,0.0,0.0
55,37,27,0.0,0.0
77,52,27,0.0,0.0
35,37,27,685.9061949096155,1.0
71,31,27,685.9061949096155,1.0
73,59,27,685.9061949096155,1.0
54,41,27,0.0,0.0
68,55,27,685.9061949096155,1.0
59,40,27,685.9061949096155,1.0
72,58,28,0.0,0.0
70,32,28,685.9061949096155,1.0
41,36,28,0.0,0.0
84,42,28,685.9061949096155,1.0
76,61,28,685.9061949096155,1.0
72,45,28,0.0,0.0
37,35,28,685.9061949096155,1.0
34,60,28,685.9061949096155,1.0
66,39,28,685.9061949096155,1.0
58,52,28,685.9061949096155,1.0
54,31,28,685.9061949096155,1.0
34,54,28,685.9061949096155,1.0
55,37,28,685.9061949096155,1.0
77,52,28,685.9061949096155,1.0
35,37,28,0.0,0.0
71,31,28,0.0,0.0
73,59,28,685.9061949096155,1.0
54,41,28,685.9061949096155,1.0
68,55,28,685.9061949096155,1.0
59,40,28,0.0,0.0
72,58,29,0.0,0.0
70,32,29,685.9061949096155,1.0
41,36,29,0.0,0.0
84,42,29,0.0,0.0
76,61,29,0.0,0.0
72,45,29,685.9061949096155,1.0
37,35,29,685.9061949096155,1.0
34,60,29,0.0,0.0
66,39,29,0.0,0.0
58,52,29,0.0,0.0
54,31,29,0.0,0.0
34,54,29,0.0,0.0
55,37,29,685.9061949096155,1.0
77,52,29,685.9061949096155,1.0
35,37,29,685.9061949096155,1.0
71,31,29,685.9061949096155,1.0
73,59,29,685.9061949096155,1.0
54,41,29,0.0,0.0
68,55,29,685.9061949096155,1.0
59,40,29,685.9061949096155,1.0
72,58,30,0.0,0.0
70,32,30,0.0,0.0
41,36,30,685.9061949096155,1.0
84,42,30,685.9061949096155,1.0
76,61,30,685.9061949096155,1.0
72,45,30,0.0,0.0
37,35,30,0.0,0.0
34,60,30,0.0,0.0
66,39,30,0.0,0.0
58,52,30,0.0,0.0
54,31,30,0.0,0.0
34,54,30,0.0,0.0
55,37,30,685.9061949096155,1.0
77,52,30,0.0,0.0
35,37,30,685.9061949096155,1.0
71,31,30,685.9061949096155,1.0
73,59,30,685.9061949096155,1.0
54,41,30,0.0,0.0
68,55,30,0.0,0.0
59,40,30,0.0,0.0
72,58,31,685.9061949096155,1.0
70,32,31,0.0,0.0
41,36,31,0.0,0.0
84,42,31,0.0,0.0
76,61,31,0.0,0.0
72,45,31,685.9061949096155,1.0
37,35,31,685.9061949096155,1.0
34,60,31,0.0,0.0
66,39,31,685.9061949096155,1.0
58,52,31,685.9061949096155,1.0
54,31,31,0.0,0.0
34,54,31,0.0,0.0
55,37,31,0.0,0.0
77,52,31,685.9061949096155,1.0
35,37,31,0.0,0.0
71,31,31,0.0,0.0
73,59,31,0.0,0.0
54,41,31,0.0,0.0
68,55,31,685.9061949096155,1.0
59,40,31,0.0,0.0
72,58,32,685.9061949096155,1.0
70,32,32,685.9061949096155,1.0
41,36,32,0.0,0.0
84,42,32,0.0,0.0
76,61,32,0.0,0.0
72,45,32,685.9061949096155,1.0
37,35,32,0.0,0.0
34,60,32,0.0,0.0
66,39,32,0.0,0.0
58,52,32,0.0,0.0
54,31,32,0.0,0.0
34,54,32,685.9061949096155,1.0
55,37,32,685.9061949096155,1.0
77,52,32,685.9061949096155,1.0
35,37,32,0.0,0.0
71,31,32,0.0,0.0
73,59,32,0.0,0.0
54,41,32,685.9061949096155,1.0
68,55,32,685.9061949096155,1.0
59,40,32,685.9061949096155,1.0
72,58,33,0.0,0.0
70,32,33,685.9061949096155,1.0
41,36,33,0.0,0.0
84,42,33,0.0,0.0
76,61,33,0.0,0.0
72,45,33,0.0,0.0
37,35,33,685.9061949096155,1.0
34,60,33,0.0,0.0
66,39,33,685.9061949096155,1.0
58,52,33,0.0,0.0
54,31,33,0.0,0.0
34,54,33,0.0,0.0
55,37,33,685.9061949096155,1.0
77,52,33,0.0,0.0
35,37,33,0.0,0.0
71,31,33,0.0,0.0
73,59,33,685.9061949096155,1.0
54,41,33,0.0,0.0
68,55,33,685.9061949096155,1.0
59,40,33,685.9061949096155,1.0
72,58,34,685.9061949096155,1.0
70,32,34,0.0,0.0
41,36,34,685.9061949096155,1.0
84,42,34,0.0,0.0
76,61,34,0.0,0.0
72,45,34,0.0,0.0
37,35,34,685.9061949096155,1.0
34,60,34,0.0,0.0
66,39,34,0.0,0.0
58,52,34,0.0,0.0
54,31,34,685.9061949096155,1.0
34,54,34,685.9061949096155,1.0
55,37,34,0.0,0.0
77,52,34,685.9061949096155,1.0
35,37,34,685.9061949096155,1.0
71,31,34,0.0,0.0
73,59,34,0.0,0.0
54,41,34,685.9061949096155,1.0
68,55,34,685.9061949096155,1.0
59,40,34,0.0,0.0
72,58,35,685.9061949096155,1.0
70,32,35,685.9061949096155,1.0
41,36,35,685.9061949096155,1.0
84,42,35,685.9061949096155,1.0
76,61,35,0.0,0.0
72,45,35,685.9061949096155,1.0
37,35,35,685.9061949096155,1.0
34,60,35,685.9061949096155,1.0
66,39,35,685.9061949096155,1.0
58,52,35,685.9061949096155,1.0
54,31,35,685.9061949096155,1.0
34,54,35,0.0,0.0
55,37,35,685.9061949096155,1.0
77,52,35,685.9061949096155,1.0
35,37,35,685.9061949096155,1.0
71,31,35,0.0,0.0
73,59,35,0.0,0.0
54,41,35,685.9061949096155,1.0
68,55,35,685.9061949096155,1.0
59,40,35,685.9061949096155,1.0
72,58,36,0.0,0.0
70,32,36,685.9061949096155,1.0
41,36,36,0.0,0.0
84,42,36,0.0,0.0
76,61,36,685.9061949096155,1.0
72,45,36,0.0,0.0
37,35,36,0.0,0.0
34,60,36,685.9061949096155,1.0
66,39,36,685.9061949096155,1.0
58,52,36,0.0,0.0
54,31,36,685.9061949096155,1.0
34,54,36,0.0,0.0
55,37,36,0.0,0.0
77,52,36,685.9061949096155,1.0
35,37,36,0.0,0.0
71,31,36,685.9061949096155,1.0
73,59,36,0.0,0.0
54,41,36,0.0,0.0
68,55,36,0.0,0.0
59,40,36,685.9061949096155,1.0
72,58,37,685.9061949096155,1.0
70,32,37,0.0,0.0
41,36,37,0.0,0.0
84,42,37,685.9061949096155,1.0
76,61,37,0.0,0.0
72,45,37,0.0,0.0
37,35,37,685.9061949096155,1.0
34,60,37,0.0,0.0
66,39,37,685.9061949096155,1.0
58,52,37,0.0,0.0
54,31,37,0.0,0.0
34,54,37,0.0,0.0
55,37,37,685.9061949096155,1.0
77,52,37,685.9061949096155,1.0
35,37,37,0.0,0.0
71,31,37,685.9061949096155,1.0
73,59,37,685.9061949096155,1.0
54,41,37,685.9061949096155,1.0
68,55,37,685.9061949096155,1.0
59,40,37,0.0,0.0
72,58,38,0.0,0.0
70,32,38,685.9061949096155,1.0
41,36,38,685.9061949096155,1.0
84,42,38,0.0,0.0
76,61,38,685.9061949096155,1.0
72,45,38,685.9061949096155,1.0
37,35,38,0.0,0.0
34,60,38,0.0,0.0
66,39,38,0.0,0.0
58,52,38,685.9061949096155,1.0
54,31,38,0.0,0.0
34,54,38,0.0,0.0
55,37,38,0.0,0.0
77,52,38,685.9061949096155,1.0
35,37,38,685.9061949096155,1.0
71,31,38,685.9061949096155,1.0
73,59,38,0.0,0.0
54,41,38,685.9061949096155,1.0
68,55,38,0.0,0.0
59,40,38,685.9061949096155,1.0
72,58,39,685.9061949096155,1.0
70,32,39,0.0,0.0
41,36,39,0.0,0.0
84,42,39,685.9061949096155,1.0
76,61,39,0.0,0.0
72,45,39,685.9061949096155,1.0
37,35,39,685.9061949096155,1.0
34,60,39,685.9061949096155,1.0
66,39,39,0.0,0.0
58,52,39,0.0,0.0
54,31,39,685.9061949096155,1.0
34,54,39,685.9061949096155,1.0
55,37,39,685.9061949096155,1.0
77,52,39,0.0,0.0
35,37,39,0.0,0.0
71,31,39,685.9061949096155,1.0
73,59,39,685.9061949096155,1.0
54,41,39,0.0,0.0
68,55,39,0.0,0.0
59,40,39,685.9061949096155,1.0
72,58,40,685.9061949096155,1.0
70,32,40,0.0,0.0
41,36,40,685.9061949096155,1.0
84,42,40,0.0,0.0
76,61,40,0.0,0.0
72,45,40,0.0,0.0
37,35,40,0.0,0.0
34,60,40,685.9061949096155,1.0
66,39,40,685.9061949096155,1.0
58,52,40,685.9061949096155,1.0
54,31,40,0.0,0.0
34,54,40,0.0,0.0
55,37,40,685.9061949096155,1.0
77,52,40,685.9061949096155,1.0
35,37,40,0.0,0.0
71,31,40,685.9061949096155,1.0
73,59,40,0.0,0.0
54,41,40,0.0,0.0
68,55,40,685.9061949096155,1.0
59,40,40,0.0,0.0
72,58,41,0.0,0.0
70,32,41,685.9061949096155,1.0
41,36,41,0.0,0.0
84,42,41,0.0,0.0
76,61,41,685.9061949096155,1.0
72,45,41,0.0,0.0
37,35,41,0.0,0.0
34,60,41,685.9061949096155,1.0
66,39,41,685.9061949096155,1.0
58,52,41,685.9061949096155,1.0
54,31,41,0.0,0.0
34,54,41,0.0,0.0
55,37,41,685.9061949096155,1.0
77,52,41,0.0,0.0
35,37,41,0.0,0.0
71,31,41,0.0,0.0
73,59,41,0.0,0.0
54,41,41,0.0,0.0
68,55,41,685.9061949096155,1.0
59,40,41,0.0,0.0
72,58,42,0.0,0.0
70,32,42,685.9061949096155,1.0
41,36,42,685.9061949096155,1.0
84,42,42,685.9061949096155,1.0
76,61,42,685.9061949096155,1.0
72,45,42,0.0,0.0
37,35,42,0.0,0.0
34,60,42,685.9061949096155,1.0
66,39,42,685.9061949096155,1.0
58,52,42,685.9061949096155,1.0
54,31,42,0.0,0.0
34,54,42,685.9061949096155,1.0
55,37,42,685.9061949096155,1.0
77,52,42,685.9061949096155,1.0
35,37,42,0.0,0.0
71,31,42,0.0,0.0
73,59,42,0.0,0.0
54,41,42,685.9061949096155,1.0
68,55,42,0.0,0.0
59,40,42,685.9061949096155,1.0
72,58,43,685.9061949096155,1.0
70,32,43,0.0,0.0
41,36,43,0.0,0.0
84,42,43,685.9061949096155,1.0
76,61,43,0.0,0.0
72,45,43,685.9061949096155,1.0
37,35,43,685.9061949096155,1.0
34,60,43,685.9061949096155,1.0
66,39,43,0.0,0.0
58,52,43,0.0,0.0
54,31,43,685.9061949096155,1.0
