parnme,r,c,sp
a_r:58_c:52_sp:6,58,52,6
a_r:54_c:31_sp:6,54,31,6
a_r:34_c:54_sp:6,34,54,6
a_r:55_c:37_sp:6,55,37,6
a_r:77_c:52_sp:6,77,52,6
a_r:35_c:37_sp:6,35,37,6
a_r:71_c:31_sp:6,71,31,6
a_r:73_c:59_sp:6,73,59,6
a_r:54_c:41_sp:6,54,41,6
a_r:68_c:55_sp:6,68,55,6
a_r:59_c:40_sp:6,59,40,6
a_r:72_c:58_sp:7,72,58,7
a_r:70_c:32_sp:7,70,32,7
a_r:41_c:36_sp:7,41,36,7
a_r:84_c:42_sp:7,84,42,7
a_r:76_c:61_sp:7,76,61,7
a_r:72_c:45_sp:7,72,45,7
a_r:37_c:35_sp:7,37,35,7
a_r:34_c:60_sp:7,34,60,7
a_r:66_c:39_sp:7,66,39,7
a_r:58_c:52_sp:7,58,52,7
a_r:54_c:31_sp:7,54,31,7
a_r:34_c:54_sp:7,34,54,7
a_r:55_c:37_sp:7,55,37,7
a_r:77_c:52_sp:7,77,52,7
a_r:35_c:37_sp:7,35,37,7
a_r:71_c:31_sp:7,71,31,7
a_r:73_c:59_sp:7,73,59,7
a_r:54_c:41_sp:7,54,41,7
a_r:68_c:55_sp:7,68,55,7
a_r:59_c:40_sp:7,59,40,7
a_r:72_c:58_sp:8,72,58,8
a_r:70_c:32_sp:8,70,32,8
a_r:41_c:36_sp:8,41,36,8
a_r:84_c:42_sp:8,84,42,8
a_r:76_c:61_sp:8,76,61,8
a_r:72_c:45_sp:8,72,45,8
a_r:37_c:35_sp:8,37,35,8
a_r:34_c:60_sp:8,34,60,8
a_r:66_c:39_sp:8,66,39,8
a_r:58_c:52_sp:8,58,52,8
a_r:54_c:31_sp:8,54,31,8
a_r:34_c:54_sp:8,34,54,8
a_r:55_c:37_sp:8,55,37,8
a_r:77_c:52_sp:8,77,52,8
a_r:35_c:37_sp:8,35,37,8
a_r:71_c:31_sp:8,71,31,8
a_r:73_c:59_sp:8,73,59,8
a_r:54_c:41_sp:8,54,41,8
a_r:68_c:55_sp:8,68,55,8
a_r:59_c:40_sp:8,59,40,8
a_r:72_c:58_sp:9,72,58,9
a_r:70_c:32_sp:9,70,32,9
a_r:41_c:36_sp:9,41,36,9
a_r:84_c:42_sp:9,84,42,9
a_r:76_c:61_sp:9,76,61,9
a_r:72_c:45_sp:9,72,45,9
a_r:37_c:35_sp:9,37,35,9
a_r:34_c:60_sp:9,34,60,9
a_r:66_c:39_sp:9,66,39,9
a_r:58_c:52_sp:9,58,52,9
a_r:54_c:31_sp:9,54,31,9
a_r:34_c:54_sp:9,34,54,9
a_r:55_c:37_sp:9,55,37,9
a_r:77_c:52_sp:9,77,52,9
a_r:35_c:37_sp:9,35,37,9
a_r:71_c:31_sp:9,71,31,9
a_r:73_c:59_sp:9,73,59,9
a_r:54_c:41_sp:9,54,41,9
a_r:68_c:55_sp:9,68,55,9
a_r:59_c:40_sp:9,59,40,9
a_r:72_c:58_sp:10,72,58,10
a_r:70_c:32_sp:10,70,32,10
a_r:41_c:36_sp:10,41,36,10
a_r:84_c:42_sp:10,84,42,10
a_r:76_c:61_sp:10,76,61,10
a_r:72_c:45_sp:10,72,45,10
a_r:37_c:35_sp:10,37,35,10
a_r:34_c:60_sp:10,34,60,10
a_r:66_c:39_sp:10,66,39,10
a_r:58_c:52_sp:10,58,52,10
a_r:54_c:31_sp:10,54,31,10
a_r:34_c:54_sp:10,34,54,10
a_r:55_c:37_sp:10,55,37,10
a_r:77_c:52_sp:10,77,52,10
a_r:35_c:37_sp:10,35,37,10
a_r:71_c:31_sp:10,71,31,10
a_r:73_c:59_sp:10,73,59,10
a_r:54_c:41_sp:10,54,41,10
a_r:68_c:55_sp:10,68,55,10
a_r:59_c:40_sp:10,59,40,10
a_r:72_c:58_sp:11,72,58,11
a_r:70_c:32_sp:11,70,32,11
a_r:41_c:36_sp:11,41,36,11
a_r:84_c:42_sp:11,84,42,11
a_r:76_c:61_sp:11,76,61,11
a_r:72_c:45_sp:11,72,45,11
a_r:37_c:35_sp:11,37,35,11
a_r:34_c:60_sp:11,34,60,11
a_r:66_c:39_sp:11,66,39,11
a_r:58_c:52_sp:11,58,52,11
a_r:54_c:31_sp:11,54,31,11
a_r:34_c:54_sp:11,34,54,11
a_r:55_c:37_sp:11,55,37,11
a_r:77_c:52_sp:11,77,52,11
a_r:35_c:37_sp:11,35,37,11
a_r:71_c:31_sp:11,71,31,11
a_r:73_c:59_sp:11,73,59,11
a_r:54_c:41_sp:11,54,41,11
a_r:68_c:55_sp:11,68,55,11
a_r:59_c:40_sp:11,59,40,11
a_r:72_c:58_sp:12,72,58,12
a_r:70_c:32_sp:12,70,32,12
a_r:41_c:36_sp:12,41,36,12
a_r:84_c:42_sp:12,84,42,12
a_r:76_c:61_sp:12,76,61,12
a_r:72_c:45_sp:12,72,45,12
a_r:37_c:35_sp:12,37,35,12
a_r:34_c:60_sp:12,34,60,12
a_r:66_c:39_sp:12,66,39,12
a_r:58_c:52_sp:12,58,52,12
a_r:54_c:31_sp:12,54,31,12
a_r:34_c:54_sp:12,34,54,12
a_r:55_c:37_sp:12,55,37,12
a_r:77_c:52_sp:12,77,52,12
a_r:35_c:37_sp:12,35,37,12
a_r:71_c:31_sp:12,71,31,12
a_r:73_c:59_sp:12,73,59,12
a_r:54_c:41_sp:12,54,41,12
a_r:68_c:55_sp:12,68,55,12
a_r:59_c:40_sp:12,59,40,12
a_r:72_c:58_sp:13,72,58,13
a_r:70_c:32_sp:13,70,32,13
a_r:41_c:36_sp:13,41,36,13
a_r:84_c:42_sp:13,84,42,13
a_r:76_c:61_sp:13,76,61,13
a_r:72_c:45_sp:13,72,45,13
a_r:37_c:35_sp:13,37,35,13
a_r:34_c:60_sp:13,34,60,13
a_r:66_c:39_sp:13,66,39,13
a_r:58_c:52_sp:13,58,52,13
a_r:54_c:31_sp:13,54,31,13
a_r:34_c:54_sp:13,34,54,13
a_r:55_c:37_sp:13,55,37,13
a_r:77_c:52_sp:13,77,52,13
a_r:35_c:37_sp:13,35,37,13
a_r:71_c:31_sp:13,71,31,13
a_r:73_c:59_sp:13,73,59,13
a_r:54_c:41_sp:13,54,41,13
a_r:68_c:55_sp:13,68,55,13
a_r:59_c:40_sp:13,59,40,13
a_r:72_c:58_sp:14,72,58,14
a_r:70_c:32_sp:14,70,32,14
a_r:41_c:36_sp:14,41,36,14
a_r:84_c:42_sp:14,84,42,14
a_r:76_c:61_sp:14,76,61,14
a_r:72_c:45_sp:14,72,45,14
a_r:37_c:35_sp:14,37,35,14
a_r:34_c:60_sp:14,34,60,14
a_r:66_c:39_sp:14,66,39,14
a_r:58_c:52_sp:14,58,52,14
a_r:54_c:31_sp:14,54,31,14
a_r:34_c:54_sp:14,34,54,14
a_r:55_c:37_sp:14,55,37,14
a_r:77_c:52_sp:14,77,52,14
a_r:35_c:37_sp:14,35,37,14
a_r:71_c:31_sp:14,71,31,14
a_r:73_c:59_sp:14,73,59,14
a_r:54_c:41_sp:14,54,41,14
a_r:68_c:55_sp:14,68,55,14
a_r:59_c:40_sp:14,59,40,14
a_r:72_c:58_sp:15,72,58,15
a_r:70_c:32_sp:15,70,32,15
a_r:41_c:36_sp:15,41,36,15
a_r:84_c:42_sp:15,84,42,15
a_r:76_c:61_sp:15,76,61,15
a_r:72_c:45_sp:15,72,45,15
a_r:37_c:35_sp:15,37,35,15
a_r:34_c:60_sp:15,34,60,15
a_r:66_c:39_sp:15,66,39,15
a_r:58_c:52_sp:15,58,52,15
a_r:54_c:31_sp:15,54,31,15
a_r:34_c:54_sp:15,34,54,15
a_r:55_c:37_sp:15,55,37,15
a_r:77_c:52_sp:15,77,52,15
a_r:35_c:37_sp:15,35,37,15
a_r:71_c:31_sp:15,71,31,15
a_r:73_c:59_sp:15,73,59,15
a_r:54_c:41_sp:15,54,41,15
a_r:68_c:55_sp:15,68,55,15
a_r:59_c:40_sp:15,59,40,15
a_r:72_c:58_sp:16,72,58,16
a_r:70_c:32_sp:16,70,32,16
a_r:41_c:36_sp:16,41,36,16
a_r:84_c:42_sp:16,84,42,16
a_r:76_c:61_sp:16,76,61,16
a_r:72_c:45_sp:16,72,45,16
a_r:37_c:35_sp:16,37,35,16
a_r:34_c:60_sp:16,34,60,16
a_r:66_c:39_sp:16,66,39,16
a_r:58_c:52_sp:16,58,52,16
a_r:54_c:31_sp:16,54,31,16
a_r:34_c:54_sp:16,34,54,16
a_r:55_c:37_sp:16,55,37,16
a_r:77_c:52_sp:16,77,52,16
a_r:35_c:37_sp:16,35,37,16
a_r:71_c:31_sp:16,71,31,16
a_r:73_c:59_sp:16,73,59,16
a_r:54_c:41_sp:16,54,41,16
a_r:68_c:55_sp:16,68,55,16
a_r:59_c:40_sp:16,59,40,16
a_r:72_c:58_sp:17,72,58,17
a_r:70_c:32_sp:17,70,32,17
a_r:41_c:36_sp:17,41,36,17
a_r:84_c:42_sp:17,84,42,17
a_r:76_c:61_sp:17,76,61,17
a_r:72_c:45_sp:17,72,45,17
a_r:37_c:35_sp:17,37,35,17
a_r:34_c:60_sp:17,34,60,17
a_r:66_c:39_sp:17,66,39,17
a_r:58_c:52_sp:17,58,52,17
a_r:54_c:31_sp:17,54,31,17
a_r:34_c:54_sp:17,34,54,17
a_r:55_c:37_sp:17,55,37,17
a_r:77_c:52_sp:17,77,52,17
a_r:35_c:37_sp:17,35,37,17
a_r:71_c:31_sp:17,71,31,17
a_r:73_c:59_sp:17,73,59,17
a_r:54_c:41_sp:17,54,41,17
a_r:68_c:55_sp:17,68,55,17
a_r:59_c:40_sp:17,59,40,17
a_r:72_c:58_sp:18,72,58,18
a_r:70_c:32_sp:18,70,32,18
a_r:41_c:36_sp:18,41,36,18
a_r:84_c:42_sp:18,84,42,18
a_r:76_c:61_sp:18,76,61,18
a_r:72_c:45_sp:18,72,45,18
a_r:37_c:35_sp:18,37,35,18
a_r:34_c:60_sp:18,34,60,18
a_r:66_c:39_sp:18,66,39,18
a_r:58_c:52_sp:18,58,52,18
a_r:54_c:31_sp:18,54,31,18
a_r:34_c:54_sp:18,34,54,18
a_r:55_c:37_sp:18,55,37,18
a_r:77_c:52_sp:18,77,52,18
a_r:35_c:37_sp:18,35,37,18
a_r:71_c:31_sp:18,71,31,18
a_r:73_c:59_sp:18,73,59,18
a_r:54_c:41_sp:18,54,41,18
a_r:68_c:55_sp:18,68,55,18
a_r:59_c:40_sp:18,59,40,18
a_r:72_c:58_sp:19,72,58,19
a_r:70_c:32_sp:19,70,32,19
a_r:41_c:36_sp:19,41,36,19
a_r:84_c:42_sp:19,84,42,19
a_r:76_c:61_sp:19,76,61,19
a_r:72_c:45_sp:19,72,45,19
a_r:37_c:35_sp:19,37,35,19
a_r:34_c:60_sp:19,34,60,19
a_r:66_c:39_sp:19,66,39,19
a_r:58_c:52_sp:19,58,52,19
a_r:54_c:31_sp:19,54,31,19
a_r:34_c:54_sp:19,34,54,19
a_r:55_c:37_sp:19,55,37,19
a_r:77_c:52_sp:19,77,52,19
a_r:35_c:37_sp:19,35,37,19
a_r:71_c:31_sp:19,71,31,19
a_r:73_c:59_sp:19,73,59,19
a_r:54_c:41_sp:19,54,41,19
a_r:68_c:55_sp:19,68,55,19
a_r:59_c:40_sp:19,59,40,19
a_r:72_c:58_sp:20,72,58,20
a_r:70_c:32_sp:20,70,32,20
a_r:41_c:36_sp:20,41,36,20
a_r:84_c:42_sp:20,84,42,20
a_r:76_c:61_sp:20,76,61,20
a_r:72_c:45_sp:20,72,45,20
a_r:37_c:35_sp:20,37,35,20
a_r:34_c:60_sp:20,34,60,20
a_r:66_c:39_sp:20,66,39,20
a_r:58_c:52_sp:20,58,52,20
a_r:54_c:31_sp:20,54,31,20
a_r:34_c:54_sp:20,34,54,20
a_r:55_c:37_sp:20,55,37,20
a_r:77_c:52_sp:20,77,52,20
a_r:35_c:37_sp:20,35,37,20
a_r:71_c:31_sp:20,71,31,20
a_r:73_c:59_sp:20,73,59,20
a_r:54_c:41_sp:20,54,41,20
a_r:68_c:55_sp:20,68,55,20
a_r:59_c:40_sp:20,59,40,20
a_r:72_c:58_sp:21,72,58,21
a_r:70_c:32_sp:21,70,32,21
a_r:41_c:36_sp:21,41,36,21
a_r:84_c:42_sp:21,84,42,21
a_r:76_c:61_sp:21,76,61,21
a_r:72_c:45_sp:21,72,45,21
a_r:37_c:35_sp:21,37,35,21
a_r:34_c:60_sp:21,34,60,21
a_r:66_c:39_sp:21,66,39,21
a_r:58_c:52_sp:21,58,52,21
a_r:54_c:31_sp:21,54,31,21
a_r:34_c:54_sp:21,34,54,21
a_r:55_c:37_sp:21,55,37,21
a_r:77_c:52_sp:21,77,52,21
a_r:35_c:37_sp:21,35,37,21
a_r:71_c:31_sp:21,71,31,21
a_r:73_c:59_sp:21,73,59,21
a_r:54_c:41_sp:21,54,41,21
a_r:68_c:55_sp:21,68,55,21
a_r:59_c:40_sp:21,59,40,21
a_r:72_c:58_sp:22,72,58,22
a_r:70_c:32_sp:22,70,32,22
a_r:41_c:36_sp:22,41,36,22
a_r:84_c:42_sp:22,84,42,22
a_r:76_c:61_sp:22,76,61,22
a_r:72_c:45_sp:22,72,45,22
a_r:37_c:35_sp:22,37,35,22
a_r:34_c:60_sp:22,34,60,22
a_r:66_c:39_sp:22,66,39,22
a_r:58_c:52_sp:22,58,52,22
a_r:54_c:31_sp:22,54,31,22
a_r:34_c:54_sp:22,34,54,22
a_r:55_c:37_sp:22,55,37,22
a_r:77_c:52_sp:22,77,52,22
a_r:35_c:37_sp:22,35,37,22
a_r:71_c:31_sp:22,71,31,22
a_r:73_c:59_sp:22,73,59,22
a_r:54_c:41_sp:22,54,41,22
a_r:68_c:55_sp:22,68,55,22
a_r:59_c:40_sp:22,59,40,22
a_r:72_c:58_sp:23,72,58,23
a_r:70_c:32_sp:23,70,32,23
a_r:41_c:36_sp:23,41,36,23
a_r:84_c:42_sp:23,84,42,23
a_r:76_c:61_sp:23,76,61,23
a_r:72_c:45_sp:23,72,45,23
a_r:37_c:35_sp:23,37,35,23
a_r:34_c:60_sp:23,34,60,23
a_r:66_c:39_sp:23,66,39,23
a_r:58_c:52_sp:23,58,52,23
a_r:54_c:31_sp:23,54,31,23
a_r:34_c:54_sp:23,34,54,23
a_r:55_c:37_sp:23,55,37,23
a_r:77_c:52_sp:23,77,52,23
a_r:35_c:37_sp:23,35,37,23
a_r:71_c:31_sp:23,71,31,23
a_r:73_c:59_sp:23,73,59,23
a_r:54_c:41_sp:23,54,41,23
a_r:68_c:55_sp:23,68,55,23
a_r:59_c:40_sp:23,59,40,23
a_r:72_c:58_sp:24,72,58,24
a_r:70_c:32_sp:24,70,32,24
a_r:41_c:36_sp:24,41,36,24
a_r:84_c:42_sp:24,84,42,24
a_r:76_c:61_sp:24,76,61,24
a_r:72_c:45_sp:24,72,45,24
a_r:37_c:35_sp:24,37,35,24
a_r:34_c:60_sp:24,34,60,24
a_r:66_c:39_sp:24,66,39,24
a_r:58_c:52_sp:24,58,52,24
a_r:54_c:31_sp:24,54,31,24
a_r:34_c:54_sp:24,34,54,24
a_r:55_c:37_sp:24,55,37,24
a_r:77_c:52_sp:24,77,52,24
a_r:35_c:37_sp:24,35,37,24
a_r:71_c:31_sp:24,71,31,24
a_r:73_c:59_sp:24,73,59,24
a_r:54_c:41_sp:24,54,41,24
a_r:68_c:55_sp:24,68,55,24
a_r:59_c:40_sp:24,59,40,24
a_r:72_c:58_sp:25,72,58,25
a_r:70_c:32_sp:25,70,32,25
a_r:41_c:36_sp:25,41,36,25
a_r:84_c:42_sp:25,84,42,25
a_r:76_c:61_sp:25,76,61,25
a_r:72_c:45_sp:25,72,45,25
a_r:37_c:35_sp:25,37,35,25
a_r:34_c:60_sp:25,34,60,25
a_r:66_c:39_sp:25,66,39,25
a_r:58_c:52_sp:25,58,52,25
a_r:54_c:31_sp:25,54,31,25
a_r:34_c:54_sp:25,34,54,25
a_r:55_c:37_sp:25,55,37,25
a_r:77_c:52_sp:25,77,52,25
a_r:35_c:37_sp:25,35,37,25
a_r:71_c:31_sp:25,71,31,25
a_r:73_c:59_sp:25,73,59,25
a_r:54_c:41_sp:25,54,41,25
a_r:68_c:55_sp:25,68,55,25
a_r:59_c:40_sp:25,59,40,25
a_r:72_c:58_sp:26,72,58,26
a_r:70_c:32_sp:26,70,32,26
a_r:41_c:36_sp:26,41,36,26
a_r:84_c:42_sp:26,84,42,26
a_r:76_c:61_sp:26,76,61,26
a_r:72_c:45_sp:26,72,45,26
a_r:37_c:35_sp:26,37,35,26
a_r:34_c:60_sp:26,34,60,26
a_r:66_c:39_sp:26,66,39,26
a_r:58_c:52_sp:26,58,52,26
a_r:54_c:31_sp:26,54,31,26
a_r:34_c:54_sp:26,34,54,26
a_r:55_c:37_sp:26,55,37,26
a_r:77_c:52_sp:26,77,52,26
a_r:35_c:37_sp:26,35,37,26
a_r:71_c:31_sp:26,71,31,26
a_r:73_c:59_sp:26,73,59,26
a_r:54_c:41_sp:26,54,41,26
a_r:68_c:55_sp:26,68,55,26
a_r:59_c:40_sp:26,59,40,26
a_r:72_c:58_sp:27,72,58,27
a_r:70_c:32_sp:27,70,32,27
a_r:41_c:36_sp:27,41,36,27
a_r:84_c:42_sp:27,84,42,27
a_r:76_c:61_sp:27,76,61,27
a_r:72_c:45_sp:27,72,45,27
a_r:37_c:35_sp:27,37,35,27
a_r:34_c:60_sp:27,34,60,27
a_r:66_c:39_sp:27,66,39,27
a_r:58_c:52_sp:27,58,52,27
a_r:54_c:31_sp:27,54,31,27
a_r:34_c:54_sp:27,34,54,27
a_r:55_c:37_sp:27,55,37,27
a_r:77_c:52_sp:27,77,52,27
a_r:35_c:37_sp:27,35,37,27
a_r:71_c:31_sp:27,71,31,27
a_r:73_c:59_sp:27,73,59,27
a_r:54_c:41_sp:27,54,41,27
a_r:68_c:55_sp:27,68,55,27
a_r:59_c:40_sp:27,59,40,27
a_r:72_c:58_sp:28,72,58,28
a_r:70_c:32_sp:28,70,32,28
a_r:41_c:36_sp:28,41,36,28
a_r:84_c:42_sp:28,84,42,28
a_r:76_c:61_sp:28,76,61,28
a_r:72_c:45_sp:28,72,45,28
a_r:37_c:35_sp:28,37,35,28
a_r:34_c:60_sp:28,34,60,28
a_r:66_c:39_sp:28,66,39,28
a_r:58_c:52_sp:28,58,52,28
a_r:54_c:31_sp:28,54,31,28
a_r:34_c:54_sp:28,34,54,28
a_r:55_c:37_sp:28,55,37,28
a_r:77_c:52_sp:28,77,52,28
a_r:35_c:37_sp:28,35,37,28
a_r:71_c:31_sp:28,71,31,28
a_r:73_c:59_sp:28,73,59,28
a_r:54_c:41_sp:28,54,41,28
a_r:68_c:55_sp:28,68,55,28
a_r:59_c:40_sp:28,59,40,28
a_r:72_c:58_sp:29,72,58,29
a_r:70_c:32_sp:29,70,32,29
a_r:41_c:36_sp:29,41,36,29
a_r:84_c:42_sp:29,84,42,29
a_r:76_c:61_sp:29,76,61,29
a_r:72_c:45_sp:29,72,45,29
a_r:37_c:35_sp:29,37,35,29
a_r:34_c:60_sp:29,34,60,29
a_r:66_c:39_sp:29,66,39,29
a_r:58_c:52_sp:29,58,52,29
a_r:54_c:31_sp:29,54,31,29
a_r:34_c:54_sp:29,34,54,29
a_r:55_c:37_sp:29,55,37,29
a_r:77_c:52_sp:29,77,52,29
a_r:35_c:37_sp:29,35,37,29
a_r:71_c:31_sp:29,71,31,29
a_r:73_c:59_sp:29,73,59,29
a_r:54_c:41_sp:29,54,41,29
a_r:68_c:55_sp:29,68,55,29
a_r:59_c:40_sp:29,59,40,29
a_r:72_c:58_sp:30,72,58,30
a_r:70_c:32_sp:30,70,32,30
a_r:41_c:36_sp:30,41,36,30
a_r:84_c:42_sp:30,84,42,30
a_r:76_c:61_sp:30,76,61,30
a_r:72_c:45_sp:30,72,45,30
a_r:37_c:35_sp:30,37,35,30
a_r:34_c:60_sp:30,34,60,30
a_r:66_c:39_sp:30,66,39,30
a_r:58_c:52_sp:30,58,52,30
a_r:54_c:31_sp:30,54,31,30
a_r:34_c:54_sp:30,34,54,30
a_r:55_c:37_sp:30,55,37,30
a_r:77_c:52_sp:30,77,52,30
a_r:35_c:37_sp:30,35,37,30
a_r:71_c:31_sp:30,71,31,30
a_r:73_c:59_sp:30,73,59,30
a_r:54_c:41_sp:30,54,41,30
a_r:68_c:55_sp:30,68,55,30
a_r:59_c:40_sp:30,59,40,30
a_r:72_c:58_sp:31,72,58,31
a_r:70_c:32_sp:31,70,32,31
a_r:41_c:36_sp:31,41,36,31
a_r:84_c:42_sp:31,84,42,31
a_r:76_c:61_sp:31,76,61,31
a_r:72_c:45_sp:31,72,45,31
a_r:37_c:35_sp:31,37,35,31
a_r:34_c:60_sp:31,34,60,31
a_r:66_c:39_sp:31,66,39,31
a_r:58_c:52_sp:31,58,52,31
a_r:54_c:31_sp:31,54,31,31
a_r:34_c:54_sp:31,34,54,31
a_r:55_c:37_sp:31,55,37,31
a_r:77_c:52_sp:31,77,52,31
a_r:35_c:37_sp:31,35,37,31
a_r:71_c:31_sp:31,71,31,31
a_r:73_c:59_sp:31,73,59,31
a_r:54_c:41_sp:31,54,41,31
a_r:68_c:55_sp:31,68,55,31
a_r:59_c:40_sp:31,59,40,31
a_r:72_c:58_sp:32,72,58,32
a_r:70_c:32_sp:32,70,32,32
a_r:41_c:36_sp:32,41,36,32
a_r:84_c:42_sp:32,84,42,32
a_r:76_c:61_sp:32,76,61,32
a_r:72_c:45_sp:32,72,45,32
a_r:37_c:35_sp:32,37,35,32
a_r:34_c:60_sp:32,34,60,32
a_r:66_c:39_sp:32,66,39,32
a_r:58_c:52_sp:32,58,52,32
a_r:54_c:31_sp:32,54,31,32
a_r:34_c:54_sp:32,34,54,32
a_r:55_c:37_sp:32,55,37,32
a_r:77_c:52_sp:32,77,52,32
a_r:35_c:37_sp:32,35,37,32
a_r:71_c:31_sp:32,71,31,32
a_r:73_c:59_sp:32,73,59,32
a_r:54_c:41_sp:32,54,41,32
a_r:68_c:55_sp:32,68,55,32
a_r:59_c:40_sp:32,59,40,32
a_r:72_c:58_sp:33,72,58,33
a_r:70_c:32_sp:33,70,32,33
a_r:41_c:36_sp:33,41,36,33
a_r:84_c:42_sp:33,84,42,33
a_r:76_c:61_sp:33,76,61,33
