,r,c,sp,sidx,idx_strs,pargpq,parval1_q,q
24,33,31,2,"(33, 31, 2)",r:33_c:31_sp:2,p_inst:0,1.0,3.821866510146378903556296791066415607929229736328125000000000
25,26,22,2,"(26, 22, 2)",r:26_c:22_sp:2,p_inst:0,1.0,0.050295640744557640333667336562939453870058059692382812500000
26,37,37,2,"(37, 37, 2)",r:37_c:37_sp:2,p_inst:0,1.0,4.703551310813510077935006847837939858436584472656250000000000
27,32,8,2,"(32, 8, 2)",r:32_c:8_sp:2,p_inst:0,1.0,3.90205028723521962774611893109977245330810546875000000000000
28,9,28,2,"(9, 28, 2)",r:9_c:28_sp:2,p_inst:0,1.0,9.6879989469607699636988229485723422840237617492675781250e-03
29,31,38,2,"(31, 38, 2)",r:31_c:38_sp:2,p_inst:0,1.0,0.039900584135432425048062299310913658700883388519287109375000
30,22,11,3,"(22, 11, 3)",r:22_c:11_sp:3,p_inst:0,1.0,4.89503572924666059407172724604606628417968750000000000000e+02
31,9,40,3,"(9, 40, 3)",r:9_c:40_sp:3,p_inst:0,1.0,4.9999999999999994315658113919198513031005859375000000000e+02
32,17,43,3,"(17, 43, 3)",r:17_c:43_sp:3,p_inst:0,1.0,0.014200122423930651785473067150178394513204693794250488281250
33,43,23,3,"(43, 23, 3)",r:43_c:23_sp:3,p_inst:0,1.0,1.72788416933481039439515769551292123651364818215370178223e-04
34,33,31,3,"(33, 31, 3)",r:33_c:31_sp:3,p_inst:0,1.0,4.094749362614864551801474590320140123367309570312500000000000
35,26,22,3,"(26, 22, 3)",r:26_c:22_sp:3,p_inst:0,1.0,2.371004020741259932236744134570471942424774169921875000000000
36,37,37,3,"(37, 37, 3)",r:37_c:37_sp:3,p_inst:0,1.0,0.370362897917399958025441719655646011233329772949218750000000
37,32,8,3,"(32, 8, 3)",r:32_c:8_sp:3,p_inst:0,1.0,0.06020929929036542005427179446996888145804405212402343750000
38,9,28,3,"(9, 28, 3)",r:9_c:28_sp:3,p_inst:0,1.0,1.2054543210456246642853228578928792558144778013229370117e-03
39,31,38,3,"(31, 38, 3)",r:31_c:38_sp:3,p_inst:0,1.0,1.68213050983729459630922065116465091705322265625000000000e+02
40,22,11,4,"(22, 11, 4)",r:22_c:11_sp:4,p_inst:0,1.0,10.38241093522759150857837084913626313209533691406250000000000
41,9,40,4,"(9, 40, 4)",r:9_c:40_sp:4,p_inst:0,1.0,0.04874520809460003434310237935278564691543579101562500000000
42,17,43,4,"(17, 43, 4)",r:17_c:43_sp:4,p_inst:0,1.0,0.075383304649265805985614008477568859234452247619628906250000
43,43,23,4,"(43, 23, 4)",r:43_c:23_sp:4,p_inst:0,1.0,0.104373300990950143574131914192548720166087150573730468750000
44,33,31,4,"(33, 31, 4)",r:33_c:31_sp:4,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
45,26,22,4,"(26, 22, 4)",r:26_c:22_sp:4,p_inst:0,1.0,9.99999999999999954748111825886258685613938723690807819366e-07
46,37,37,4,"(37, 37, 4)",r:37_c:37_sp:4,p_inst:0,1.0,0.154119143952388459872793191607343032956123352050781250000000
47,32,8,4,"(32, 8, 4)",r:32_c:8_sp:4,p_inst:0,1.0,0.01170748261422707540979626372745769913308322429656982421875
48,9,28,4,"(9, 28, 4)",r:9_c:28_sp:4,p_inst:0,1.0,2.99555012040762003167060356645379215478897094726562500000000
49,31,38,4,"(31, 38, 4)",r:31_c:38_sp:4,p_inst:0,1.0,6.76083351839217901050119174932717669435078278183937072754e-05
50,22,11,5,"(22, 11, 5)",r:22_c:11_sp:5,p_inst:0,1.0,0.024357935444305672811893259677162859588861465454101562500000
51,9,40,5,"(9, 40, 5)",r:9_c:40_sp:5,p_inst:0,1.0,0.01731882600048076370491401121398666873574256896972656250000
52,17,43,5,"(17, 43, 5)",r:17_c:43_sp:5,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
53,43,23,5,"(43, 23, 5)",r:43_c:23_sp:5,p_inst:0,1.0,0.011965438977171789780573618600101326592266559600830078125000
54,33,31,5,"(33, 31, 5)",r:33_c:31_sp:5,p_inst:0,1.0,0.656567232708290426934638617240125313401222229003906250000000
55,26,22,5,"(26, 22, 5)",r:26_c:22_sp:5,p_inst:0,1.0,2.08985715852843915996128743017834494821727275848388671875e-03
56,37,37,5,"(37, 37, 5)",r:37_c:37_sp:5,p_inst:0,1.0,56.62042296784095185557816876098513603210449218750000000000000
57,32,8,5,"(32, 8, 5)",r:32_c:8_sp:5,p_inst:0,1.0,4.9999999999999994315658113919198513031005859375000000000e+02
58,9,28,5,"(9, 28, 5)",r:9_c:28_sp:5,p_inst:0,1.0,0.19152097038725271471726330219098599627614021301269531250000
59,31,38,5,"(31, 38, 5)",r:31_c:38_sp:5,p_inst:0,1.0,2.617922445234186490381489420542493462562561035156250000000000
60,22,11,6,"(22, 11, 6)",r:22_c:11_sp:6,p_inst:0,1.0,2.006541706216154796749151500989682972431182861328125000000000
61,9,40,6,"(9, 40, 6)",r:9_c:40_sp:6,p_inst:0,1.0,4.9999999999999994315658113919198513031005859375000000000e+02
62,17,43,6,"(17, 43, 6)",r:17_c:43_sp:6,p_inst:0,1.0,0.102753928249049053533781261648982763290405273437500000000000
63,43,23,6,"(43, 23, 6)",r:43_c:23_sp:6,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
64,33,31,6,"(33, 31, 6)",r:33_c:31_sp:6,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
65,26,22,6,"(26, 22, 6)",r:26_c:22_sp:6,p_inst:0,1.0,15.48104250112438684539029054576531052589416503906250000000000
66,37,37,6,"(37, 37, 6)",r:37_c:37_sp:6,p_inst:0,1.0,0.610248147627409420756805502605857327580451965332031250000000
67,32,8,6,"(32, 8, 6)",r:32_c:8_sp:6,p_inst:0,1.0,4.6010520495464106818014199395960872607247438281774520874e-06
68,9,28,6,"(9, 28, 6)",r:9_c:28_sp:6,p_inst:0,1.0,0.01598915163103536984934294196136761456727981567382812500000
69,31,38,6,"(31, 38, 6)",r:31_c:38_sp:6,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
70,22,11,7,"(22, 11, 7)",r:22_c:11_sp:7,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
71,9,40,7,"(9, 40, 7)",r:9_c:40_sp:7,p_inst:0,1.0,1.0873425471632909022901003481820225715637207031250000000e+02
72,17,43,7,"(17, 43, 7)",r:17_c:43_sp:7,p_inst:0,1.0,9.57422695123261451206897465482370535028167068958282470703e-04
73,43,23,7,"(43, 23, 7)",r:43_c:23_sp:7,p_inst:0,1.0,7.68987541423243447374913372982518922071903944015502929688e-03
74,33,31,7,"(33, 31, 7)",r:33_c:31_sp:7,p_inst:0,1.0,78.05894768607521427838946692645549774169921875000000000000000
75,26,22,7,"(26, 22, 7)",r:26_c:22_sp:7,p_inst:0,1.0,14.81930991373638129005030350526794791221618652343750000000000
76,37,37,7,"(37, 37, 7)",r:37_c:37_sp:7,p_inst:0,1.0,0.153716708973196225507251710951095446944236755371093750000000
77,32,8,7,"(32, 8, 7)",r:32_c:8_sp:7,p_inst:0,1.0,3.3204870943036002793862654369760889494500588625669479370e-05
78,9,28,7,"(9, 28, 7)",r:9_c:28_sp:7,p_inst:0,1.0,63.4543776760194333519393694587051868438720703125000000000000
79,31,38,7,"(31, 38, 7)",r:31_c:38_sp:7,p_inst:0,1.0,0.097162593626009971514712049156514694914221763610839843750000
80,22,11,8,"(22, 11, 8)",r:22_c:11_sp:8,p_inst:0,1.0,1.406345110631203709772307774983346462249755859375000000000000
81,9,40,8,"(9, 40, 8)",r:9_c:40_sp:8,p_inst:0,1.0,4.7460952077380000671547044532871950650587677955627441406e-03
82,17,43,8,"(17, 43, 8)",r:17_c:43_sp:8,p_inst:0,1.0,61.56141070223985423126578098163008689880371093750000000000000
83,43,23,8,"(43, 23, 8)",r:43_c:23_sp:8,p_inst:0,1.0,0.065621832133657881369614983668725471943616867065429687500000
84,33,31,8,"(33, 31, 8)",r:33_c:31_sp:8,p_inst:0,1.0,65.76120016991454519938997691497206687927246093750000000000000
85,26,22,8,"(26, 22, 8)",r:26_c:22_sp:8,p_inst:0,1.0,1.401164597341321371715139321167953312397003173828125000000000
86,37,37,8,"(37, 37, 8)",r:37_c:37_sp:8,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
87,32,8,8,"(32, 8, 8)",r:32_c:8_sp:8,p_inst:0,1.0,5.69643913392011214114063477609306573867797851562500000000000
88,9,28,8,"(9, 28, 8)",r:9_c:28_sp:8,p_inst:0,1.0,4.9999999999999994315658113919198513031005859375000000000e+02
89,31,38,8,"(31, 38, 8)",r:31_c:38_sp:8,p_inst:0,1.0,0.028536146604500697843143086629424942657351493835449218750000
90,22,11,9,"(22, 11, 9)",r:22_c:11_sp:9,p_inst:0,1.0,0.412757959158266629628997179679572582244873046875000000000000
91,9,40,9,"(9, 40, 9)",r:9_c:40_sp:9,p_inst:0,1.0,0.01101886852428246577062509459210559725761413574218750000000
92,17,43,9,"(17, 43, 9)",r:17_c:43_sp:9,p_inst:0,1.0,0.111832015852592184246283579795999685302376747131347656250000
93,43,23,9,"(43, 23, 9)",r:43_c:23_sp:9,p_inst:0,1.0,0.064992367948432952506898629962961422279477119445800781250000
94,33,31,9,"(33, 31, 9)",r:33_c:31_sp:9,p_inst:0,1.0,0.045513705664763565161834435457421932369470596313476562500000
95,26,22,9,"(26, 22, 9)",r:26_c:22_sp:9,p_inst:0,1.0,0.300702138031800458861653169151395559310913085937500000000000
96,37,37,9,"(37, 37, 9)",r:37_c:37_sp:9,p_inst:0,1.0,0.118800501052796506074038518363522598519921302795410156250000
97,32,8,9,"(32, 8, 9)",r:32_c:8_sp:9,p_inst:0,1.0,4.9999999999999994315658113919198513031005859375000000000e+02
98,9,28,9,"(9, 28, 9)",r:9_c:28_sp:9,p_inst:0,1.0,0.04537871807757237058167376630990474950522184371948242187500
99,31,38,9,"(31, 38, 9)",r:31_c:38_sp:9,p_inst:0,1.0,2.79901337512924097347677410141386644681915640830993652344e-03
