,r,c,sp,sidx,idx_strs,pargpa,parval1_a,a
277,54,41,13,"(54, 41, 13)",r:54_c:41_sp:13,p_inst:0,1.0,1.0
278,68,55,13,"(68, 55, 13)",r:68_c:55_sp:13,p_inst:0,1.0,1.0
279,59,40,13,"(59, 40, 13)",r:59_c:40_sp:13,p_inst:0,1.0,1.0
280,72,58,14,"(72, 58, 14)",r:72_c:58_sp:14,p_inst:0,1.0,1.0
281,70,32,14,"(70, 32, 14)",r:70_c:32_sp:14,p_inst:0,1.0,1.0
282,41,36,14,"(41, 36, 14)",r:41_c:36_sp:14,p_inst:0,1.0,1.0
283,84,42,14,"(84, 42, 14)",r:84_c:42_sp:14,p_inst:0,1.0,1.0
284,76,61,14,"(76, 61, 14)",r:76_c:61_sp:14,p_inst:0,1.0,1.0
285,72,45,14,"(72, 45, 14)",r:72_c:45_sp:14,p_inst:0,1.0,1.0
286,37,35,14,"(37, 35, 14)",r:37_c:35_sp:14,p_inst:0,1.0,1.0
287,34,60,14,"(34, 60, 14)",r:34_c:60_sp:14,p_inst:0,1.0,1.0
288,66,39,14,"(66, 39, 14)",r:66_c:39_sp:14,p_inst:0,1.0,1.0
289,58,52,14,"(58, 52, 14)",r:58_c:52_sp:14,p_inst:0,1.0,1.0
290,54,31,14,"(54, 31, 14)",r:54_c:31_sp:14,p_inst:0,1.0,1.0
291,34,54,14,"(34, 54, 14)",r:34_c:54_sp:14,p_inst:0,1.0,1.0
292,55,37,14,"(55, 37, 14)",r:55_c:37_sp:14,p_inst:0,1.0,1.0
293,77,52,14,"(77, 52, 14)",r:77_c:52_sp:14,p_inst:0,1.0,1.0
294,35,37,14,"(35, 37, 14)",r:35_c:37_sp:14,p_inst:0,1.0,1.0
295,71,31,14,"(71, 31, 14)",r:71_c:31_sp:14,p_inst:0,1.0,1.0
